area,week,male,female,delay(avg),40-44,25-29,70+,30-34,20-24,50-54,55-59,45-49,15-19,5-9,10-14,65-69,60-64,35-39,3,1,0,4,2,total,result_label
A6732-22,36,2,6,3.625,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,8,x
A6732-22,37,7,3,3.4,0,0,2,1,0,2,1,1,1,0,2,0,0,0,0,0,0,0,0,10,x
A6732-22,38,7,3,2.7,0,0,2,1,0,1,2,0,1,1,1,0,0,1,0,0,0,0,0,10,x
A6732-22,39,3,8,2.6363636363636362,0,0,3,0,1,3,0,2,0,0,0,0,2,0,0,0,0,0,0,11,x
A6732-22,40,5,6,4.090909090909091,1,1,0,2,0,1,1,0,1,0,0,1,0,2,0,0,0,1,0,11,x
A6732-22,41,5,7,1.3333333333333333,0,1,0,0,0,2,1,2,2,0,0,1,3,0,0,0,0,0,0,12,x
A6732-22,42,0,2,1.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x
A6732-22,43,3,4,3.857142857142857,0,1,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,7,x
A6732-22,44,1,1,4.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,x
A6732-22,45,1,3,4.75,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4,x
A6732-22,46,1,1,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,x
A6732-23,33,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,x
A6732-23,36,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,x
A6732-23,37,1,0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-23,38,2,2,2.0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,x
A6732-23,39,5,3,2.875,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,8,x
A6732-23,40,8,4,1.8333333333333333,0,1,1,2,0,0,3,0,0,0,1,1,1,1,1,0,0,0,0,12,x
A6732-23,41,3,4,3.7142857142857144,0,1,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,7,x
A6732-23,42,4,2,1.0,1,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,6,x
A6732-23,43,2,4,0.3333333333333333,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,6,x
A6732-23,50,0,1,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-20,34,1,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-20,35,2,0,3.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,x
A6732-20,36,6,1,3.857142857142857,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,x
A6732-20,37,4,12,2.8125,1,1,4,0,2,1,1,2,1,0,0,1,0,2,0,0,0,0,0,16,x
A6732-20,38,2,5,2.2857142857142856,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,x
A6732-20,39,9,6,2.4,0,1,4,0,1,0,0,3,2,0,1,0,1,2,0,0,0,0,0,15,x
A6732-20,40,9,2,3.3636363636363638,0,0,1,0,2,3,1,1,0,0,0,1,1,1,0,0,0,0,0,11,x
A6732-20,41,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-20,42,0,4,2.75,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,x
A6732-20,43,0,3,2.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,x
A6732-20,44,0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-20,45,0,1,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-20,47,1,0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-20,48,1,1,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x
A6732-21,34,0,2,5.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x
A6732-21,35,1,1,2.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,x
A6732-21,36,5,4,6.333333333333333,0,0,2,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,9,x
A6732-21,37,6,4,4.7,1,0,1,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,10,x
A6732-21,38,13,5,2.4444444444444446,1,0,4,0,3,2,1,2,2,0,0,1,1,1,0,0,0,0,0,18,x
A6732-21,39,6,7,2.4615384615384617,0,2,3,0,0,1,2,2,0,0,0,0,0,2,0,0,0,0,1,13,x
A6732-21,40,9,9,1.8888888888888888,1,1,6,0,2,0,1,0,0,0,0,2,5,0,0,0,0,0,0,18,x
A6732-21,41,3,11,1.4285714285714286,1,1,2,2,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,14,x
A6732-21,42,8,5,2.0,1,0,4,0,1,1,2,1,0,0,1,1,0,1,0,0,0,0,0,13,x
A6732-21,43,8,6,1.9285714285714286,0,0,1,1,1,0,5,0,0,1,0,3,2,0,0,0,0,0,0,14,x
A6732-21,44,0,2,2.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,x
A6732-21,45,2,3,2.2,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,x
A6732-21,46,0,2,5.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,x
A6732-21,49,0,1,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-26,34,1,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-26,37,2,0,4.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,x
A6732-26,38,0,5,2.0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,x
A6732-26,39,2,3,2.2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,x
A6732-26,40,2,2,3.0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,x
A6732-26,41,3,2,2.0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,x
A6732-26,42,6,1,1.8571428571428572,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,7,x
A6732-26,43,2,0,1.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,x
A6732-26,44,2,1,4.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,x
A6732-26,47,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-26,26,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-27,34,3,3,2.5,0,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,6,x
A6732-27,35,0,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,x
A6732-27,36,2,3,2.8,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,x
A6732-27,37,2,1,3.6666666666666665,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,x
A6732-27,38,3,2,2.2,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,x
A6732-27,39,6,4,3.0,0,0,4,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,10,x
A6732-27,40,4,4,2.625,1,0,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,8,x
A6732-27,41,4,4,9.0,0,0,0,2,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,8,x
A6732-27,42,4,2,2.1666666666666665,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,6,x
A6732-27,43,1,3,3.25,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,x
A6732-27,44,5,3,3.875,1,0,0,0,0,2,0,1,0,0,0,3,1,0,0,0,0,0,0,8,x
A6732-27,45,2,1,1.3333333333333333,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,x
A6732-27,47,0,2,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,x
A6732-24,34,0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-24,35,0,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,x
A6732-24,5,1,0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-24,39,0,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,x
A6732-24,41,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,x
A6732-24,43,0,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,x
A6732-24,44,1,2,3.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x
A6732-24,48,0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-24,26,1,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-24,37,2,2,3.0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,x
A6732-25,32,1,1,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x
A6732-25,33,2,0,6.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x
A6732-25,34,0,1,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-25,35,0,3,5.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,x
A6732-25,36,2,6,3.875,1,1,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,8,x
A6732-25,37,5,3,2.375,1,0,0,0,0,2,1,0,0,0,2,0,2,0,0,0,0,0,0,8,x
A6732-25,38,7,3,3.3,0,0,1,1,0,2,3,1,0,0,0,0,1,1,0,0,0,0,0,10,x
A6732-25,39,10,2,2.5833333333333335,0,1,1,1,2,1,0,0,4,0,0,0,1,1,0,0,0,0,0,12,x
A6732-25,40,2,3,1.6,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,x
A6732-25,41,2,3,1.6,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,5,x
A6732-25,42,1,2,2.6666666666666665,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x
A6732-25,43,2,2,3.25,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,x
A6732-25,44,1,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-25,46,0,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-25,52,0,1,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-28,35,2,0,5.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,x
A6732-28,36,0,1,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-28,37,2,1,3.3333333333333335,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,x
A6732-28,38,1,2,3.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,x
A6732-28,39,1,1,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,x
A6732-28,40,2,4,1.6666666666666667,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,6,x
A6732-28,41,1,3,2.25,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,x
A6732-28,42,2,2,2.75,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,x
A6732-28,43,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,x
A6732-28,44,1,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-28,45,0,1,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-29,34,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,x
A6732-29,35,2,0,2.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,x
A6732-29,36,6,8,3.2857142857142856,0,2,2,0,3,0,1,0,1,1,0,4,0,0,0,0,0,0,0,14,x
A6732-29,37,8,11,3.1578947368421053,2,0,0,2,0,0,3,1,1,1,0,4,4,1,0,0,0,0,0,19,x
A6732-29,38,8,3,2.727272727272727,0,0,2,1,2,0,1,0,0,0,0,1,4,0,0,0,0,0,0,11,x
A6732-29,39,7,8,2.2666666666666666,1,0,4,1,1,3,2,0,0,0,0,0,3,0,0,0,0,0,0,15,x
A6732-29,40,7,6,2.076923076923077,0,0,3,2,1,2,1,0,1,0,0,2,1,0,0,0,0,0,0,13,x
A6732-29,41,6,4,3.3,1,1,2,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,10,x
A6732-29,42,1,2,3.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,x
A6732-29,43,7,6,3.230769230769231,0,2,2,0,2,1,1,3,0,0,0,0,2,0,0,0,0,0,0,13,x
A6732-29,44,0,2,5.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,x
A6732-29,45,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-29,46,2,2,1.5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,x
A6732-29,48,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-29,51,1,0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6723-08,43,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6723-08,44,0,1,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-07,36,1,0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,x
A6732-07,37,3,2,7.0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,x
A6732-07,38,2,3,2.6,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,x
A6732-07,39,1,2,2.6666666666666665,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,x
A6732-07,40,2,1,2.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,x
A6732-07,41,1,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,x
A6732-07,42,2,2,1.75,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,x
A6732-07,43,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,x
A6732-07,45,0,2,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x
A6732-07,46,1,1,2.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,x
A6703-11,45,0,1,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6703-11,38,0,2,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,x
A6734-44,32,1,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,x
A6734-44,33,1,3,2.25,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,x
A6734-44,34,6,4,3.5,1,0,1,0,1,0,3,1,0,1,1,0,1,0,0,0,0,0,0,10,x
A6734-44,35,3,5,3.375,0,1,2,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,8,x
A6734-44,36,3,12,3.7333333333333334,0,2,2,1,0,2,1,2,1,2,0,0,2,0,0,0,0,0,0,15,x
A6734-44,37,20,13,2.8181818181818183,1,1,5,2,3,5,2,2,2,0,1,5,3,1,0,0,0,0,0,33,x
A6734-44,38,9,13,4.909090909090909,2,0,7,1,1,1,0,2,2,0,1,0,2,2,0,0,0,0,1,22,x
A6734-44,39,18,11,2.3793103448275863,1,2,4,2,2,6,2,1,0,0,1,3,2,3,0,0,0,0,0,29,x
A6734-44,40,5,8,2.1538461538461537,0,0,4,1,0,0,1,2,0,0,2,1,0,1,1,0,0,0,0,13,x
A6734-44,41,5,5,2.2,1,1,1,1,1,0,0,2,0,0,1,1,0,1,0,0,0,0,0,10,x
A6734-44,42,4,2,2.5,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,6,x
A6734-44,43,3,3,2.3333333333333335,0,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,6,x
A6734-44,44,0,1,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6734-44,45,0,3,0.6666666666666666,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,x
A6734-42,33,2,1,4.333333333333333,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,x
A6734-42,34,3,0,3.3333333333333335,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,x
A6734-42,35,5,4,4.666666666666667,2,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,9,x
A6734-42,36,4,6,3.3,2,0,2,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,10,x
A6734-42,37,12,11,3.9130434782608696,1,1,5,0,2,2,1,3,0,0,0,4,1,3,0,0,0,0,0,23,x
A6734-42,38,11,8,3.210526315789474,1,0,4,1,1,0,3,0,3,0,1,1,1,2,0,0,0,1,0,19,x
A6734-42,39,4,8,3.0833333333333335,0,0,0,0,1,2,3,0,2,0,0,2,1,1,0,0,0,0,0,12,x
A6734-42,40,4,4,2.25,0,2,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,8,x
A6734-42,41,0,2,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,x
A6734-42,42,5,4,2.4444444444444446,2,1,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,9,x
A6734-42,43,2,2,2.25,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,x
A6734-42,44,2,1,2.0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,x
A6734-42,45,2,0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x
A6734-42,50,1,0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6734-42,51,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6734-43,32,1,1,3.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,x
A6734-43,33,5,3,2.75,0,0,2,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,8,x
A6734-43,34,8,5,4.076923076923077,0,1,2,2,0,0,1,1,1,0,1,2,2,0,0,0,0,0,0,13,x
A6734-43,35,11,18,2.8275862068965516,1,2,5,0,0,2,2,0,1,0,0,7,7,2,0,0,0,0,0,29,x
A6734-43,36,15,29,4.136363636363637,4,2,4,4,3,4,5,4,2,1,2,2,4,3,0,0,0,0,0,44,x
A6734-43,37,22,24,3.1739130434782608,2,3,5,2,3,6,5,2,3,0,4,5,3,2,0,0,0,1,0,46,x
A6734-43,38,14,18,3.09375,3,3,5,4,1,4,3,0,3,0,0,4,2,0,0,0,0,0,0,32,x
A6734-43,39,15,18,3.212121212121212,4,2,2,3,1,2,5,3,1,1,3,3,3,0,0,0,0,0,0,33,x
A6734-43,40,7,7,2.857142857142857,0,0,2,0,1,3,3,1,0,1,0,1,1,1,0,0,0,0,0,14,x
A6734-43,41,3,7,1.7,1,0,0,0,0,1,1,1,0,0,0,2,3,1,0,0,0,0,0,10,x
A6734-43,42,4,5,2.111111111111111,0,0,3,1,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,9,x
A6734-43,43,1,2,1.6666666666666667,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,x
A6734-43,44,1,0,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,x
A6734-43,45,1,0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6734-43,46,0,1,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6734-40,32,4,1,3.8,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,x
A6734-40,33,3,3,4.333333333333333,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,x
A6734-40,34,7,6,3.923076923076923,2,3,1,0,0,1,1,1,1,0,0,0,0,3,0,0,0,0,0,13,x
A6734-40,35,8,10,3.5555555555555554,0,0,6,0,3,1,3,0,1,0,0,0,2,2,0,0,0,0,0,18,x
A6734-40,36,24,9,3.1515151515151514,1,1,9,3,2,1,1,1,3,1,4,4,1,1,0,0,0,0,0,33,x
A6734-40,37,13,10,3.1739130434782608,2,1,11,0,0,1,1,1,0,0,3,1,1,1,0,0,0,0,0,23,x
A6734-40,38,7,10,2.8823529411764706,0,2,5,0,2,2,1,1,1,0,2,0,1,0,0,0,0,0,0,17,x
A6734-40,39,5,12,4.0588235294117645,1,3,2,1,0,1,0,2,0,1,1,3,2,0,0,0,0,0,0,17,x
A6734-40,40,6,5,2.727272727272727,1,3,2,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,11,x
A6734-40,41,1,2,2.3333333333333335,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,x
A6734-40,42,0,1,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6734-40,43,2,3,2.2,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,x
A6734-40,44,0,1,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6734-40,45,1,0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6734-40,47,1,1,1.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x
A6734-40,29,1,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,x
A6734-40,30,2,1,4.0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,x
A6734-40,31,2,2,4.75,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,x
A6734-41,32,1,1,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,x
A6734-41,33,2,4,5.0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6,x
A6734-41,34,0,3,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,x
A6734-41,35,2,3,2.2,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,x
A6734-41,36,8,4,2.5,1,0,1,1,1,0,1,2,0,0,1,3,1,0,0,0,0,0,0,12,x
A6734-41,37,8,9,3.411764705882353,1,2,2,2,1,0,0,1,1,1,1,1,3,1,0,0,0,0,0,17,x
A6734-41,38,12,17,2.8275862068965516,0,1,10,2,1,0,2,2,1,0,0,2,6,1,1,0,0,0,0,29,x
A6734-41,39,12,9,2.380952380952381,0,1,3,3,2,2,4,0,0,0,0,1,3,2,0,0,0,0,0,21,x
A6734-41,40,8,6,2.7857142857142856,0,1,4,0,0,1,0,1,0,0,3,1,2,1,0,0,0,0,0,14,x
A6734-41,41,4,5,5.111111111111111,0,0,1,1,1,0,2,1,1,1,0,0,1,0,0,0,0,0,0,9,x
A6734-41,42,3,6,3.888888888888889,0,0,1,0,0,0,2,1,0,1,1,1,0,2,0,0,0,0,0,9,x
A6734-41,43,1,1,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,x
A6734-41,44,1,0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6734-41,45,1,1,1.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,x
A6734-41,46,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,x
A6734-41,48,1,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,x
A6714-08,35,0,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,x
A6714-09,38,1,1,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,x
A6714-09,39,0,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6719-10,33,0,1,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,x
A6719-10,35,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,x
A6719-10,36,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6719-10,37,0,2,4.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,x
A6719-10,39,2,0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,x
A6719-10,40,0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6719-10,43,2,0,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,x
A6719-10,31,0,1,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6719-11,45,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,x
A6719-11,37,0,1,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
A6719-11,39,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,x
A6719-12,32,1,1,6.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,x
A6719-12,33,3,4,2.857142857142857,0,0,1,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,7,x
A6719-12,34,1,2,8.666666666666666,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,x
A6719-12,35,1,1,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,x
